Goroka Airport,Goroka,Papua New Guinea,GKA,-6.08168983459,145.391998291
Madang Airport,Madang,Papua New Guinea,MAG,-5.20707988739,145.789001465
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.82678985595703,144.296005249023
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.44338035583496,147.220001220703
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.58383011818,143.669006348
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.1604995728,-45.4259986877
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.6781005859
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122218992,-50.7116031647
Thule Air Base,Thule,Greenland,THU,76.5311965942,-68.7032012939
Akureyri Airport,Akureyri,Iceland,AEY,65.6600036621094,-18.0727005004883
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.2833023071289,-14.4013996124268
Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272
Húsavík Airport,Husavik,Iceland,HZK,65.952301,-17.426001
Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.0580978393555,-23.1352996826172
Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357056
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965
Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.4243011474609,-20.2789001464844
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.4850006103516,-84.5093994140625
Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,50.0564002991,-97.0325012207
Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,44.639702,-63.499401
St. Anthony Airport,St. Anthony,Canada,YAY,51.3918991089,-56.0830993652
Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583
Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.1324996948242,-68.2043991088867
CFB Bagotville,Bagotville,Canada,YBG,48.3306007385254,-70.9963989257813
Baker Lake Airport,Baker Lake,Canada,YBK,64.2988967896,-96.077796936
Campbell River Airport,Campbell River,Canada,YBL,49.9508018493652,-125.271003723145
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.1081008911,-105.138000488
Nanaimo Airport,Nanaimo,Canada,YCD,49.0549702249,-123.869862556
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.2963981628,-117.632003784
Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203
Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299
Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997
Coronation Airport,Coronation,Canada,YCT,52.0750007629,-111.444999695
Chilliwack Airport,Chilliwack,Canada,YCW,49.1528015137,-121.939002991
Clyde River Airport,Clyde River,Canada,YCY,70.4860992432,-68.5167007446
Coral Harbour Airport,Coral Harbour,Canada,YZS,64.1932983398,-83.3593978882
Dawson City Airport,Dawson,Canada,YDA,64.043098449707,-139.128005981445
Burwash Airport,Burwash,Canada,YDB,61.3711013793945,-139.041000366211
Princeton Airport,Princeton,Canada,\N,49.4681015015,-120.511001587
Deer Lake Airport,Deer Lake,Canada,YDF,49.2108001708984,-57.3913993835449
Dease Lake Airport,Dease Lake,Canada,YDL,58.4221992493,-130.031997681
Dauphin Barker Airport,Dauphin,Canada,YDN,51.1007995605469,-100.052001953125
Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.7422981262207,-120.182998657227
Edmonton International Airport,Edmonton,Canada,YEG,53.3097000122,-113.580001831
Arviat Airport,Eskimo Point,Canada,YEK,61.0942001343,-94.0708007812
Estevan Airport,Estevan,Canada,YEN,49.2103004456,-102.966003418
Edson Airport,Edson,Canada,YET,53.5788993835,-116.464996338
Eureka Airport,Eureka,Canada,YEU,79.9946975708,-85.814201355
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.3041992188,-133.483001709
Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801
Fredericton Airport,Fredericton,Canada,YFC,45.8689002990723,-66.5372009277344
Forestville Airport,Forestville,Canada,YFE,48.7461013793945,-69.0971984863281
Flin Flon Airport,Flin Flon,Canada,YFO,54.6781005859375,-101.681999206543
Fort Resolution Airport,Fort Resolution,Canada,YFR,61.1808013916,-113.690002441
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.7602005004883,-121.236999511719
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.2252998352051,-76.5969009399414
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,53.625301361084,-77.7042007446289
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.7752990723,-64.4785995483
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.7783012390137,-86.9393997192383
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.4247016906738,-61.7780990600586
Hudson Bay Airport,Hudson Bay,Canada,YHB,52.8166999817,-102.310997009
Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.7628021240234,-117.805999755859
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.635597229,-95.8497009277
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.1735992432,-79.9349975586
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,45.5175018311,-73.4169006348
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.8396987915,-115.782997131
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.8807983398,-63.5085983276
Atikokan Municipal Airport,Atikokan,Canada,YIB,48.7738990784,-91.6386032104
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962036,-77.9666976929
St Jean Airport,St. Jean,Canada,YJN,45.2943992614746,-73.2810974121094
Stephenville Airport,Stephenville,Canada,YJT,48.5442008972168,-58.5499992370606
Kamloops Airport,Kamloops,Canada,YKA,50.7022018433,-120.444000244
Waterloo Airport,Waterloo,Canada,YKF,43.4608001709,-80.3786010742
Schefferville Airport,Schefferville,Canada,YKL,54.8053016662598,-66.8052978515625
Kindersley Airport,Kindersley,Canada,YKY,51.5175018311,-109.180999756
Buttonville Municipal Airport,Toronto,Canada,YKZ,43.8622016906738,-79.370002746582
Chapleau Airport,Chapleau,Canada,YLD,47.8199996948242,-83.3467025756836
Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.125301361084,-108.523002624512
Lloydminster Airport,Lloydminster,Canada,YLL,53.3092002868652,-110.072998046875
Alert Airport,Alert,Canada,YLT,82.5177993774,-62.2806015015
Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352
Mayo Airport,Mayo,Canada,YMA,63.6164016723633,-135.86799621582
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.3302993774414,-105.55899810791
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301239,-111.222000122
Moosonee Airport,Moosonee,Canada,YMO,51.2910995483398,-80.6078033447266
Maniwaki Airport,Maniwaki,Canada,YMW,46.2728004456,-75.9906005859
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696
Natashquan Airport,Natashquan,Canada,YNA,50.189998626709,-61.7891998291016
Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.5217018127,-75.5635986328
Matagami Airport,Matagami,Canada,YNM,49.7616996765137,-77.8028030395508
Old Crow Airport,Old Crow,Canada,YOC,67.5706024169922,-139.839004516602
CFB Cold Lake,Cold Lake,Canada,YOD,54.4049987792969,-110.278999328613
High Level Airport,High Level,Canada,YOJ,58.6213989257813,-117.165000915527
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.3224983215332,-75.6691970825195
Prince Albert Glass Field,Prince Albert,Canada,YPA,53.2141990662,-105.672996521
Peace River Airport,Peace River,Canada,YPE,56.226898,-117.446999
Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
Pitt Meadows Airport,Pitt Meadows,Canada,\N,49.2160987854004,-122.709999084473
Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4463996887207,-90.2142028808594
Port Menier Airport,Port Menier,Canada,YPN,49.8363990783691,-64.2885971069336
Peterborough Airport,Peterborough,Canada,YPQ,44.2299995422363,-78.3632965087891
